"date","movie","rank","rating","imdb.id"
2014-01-19,"The Hunger Games Catching Fire",8,8.2,"tt1951264"
2014-01-19,"Lone Survivor",9,7.6,"tt1091191"
2014-01-19,"American Hustle",10,7.9,"tt1800241"
2014-01-26,"The Hunger Games Catching Fire",1,8.2,"tt1951264"
2014-01-26,"The Wolf of Wall Street",2,8.7,"tt0993846"
2014-01-26,"Escape Plan",3,6.9,"tt1211956"
2014-01-26,"Frozen",4,8.1,"tt2294629"
2014-01-26,"Captain Phillips",5,8.1,"tt1535109"
2014-01-26,"The Secret Life of Walter Mitty",6,7.7,"tt0359950"
2014-01-26,"Lone Survivor",7,7.6,"tt1091191"
2014-01-26,"Dallas Buyers Club",8,8,"tt0790636"
2014-01-26,"Last Vegas",9,6.8,"tt1204975"
2014-01-26,"12 Years a Slave",10,8.6,"tt2024544"
2014-02-02,"Thor the Dark World",1,7.6,"tt1981115"
2014-02-02,"The Hunger Games Catching Fire",2,8.2,"tt1951264"
2014-02-02,"Homefront",3,6.8,"tt2312718"
2014-02-02,"Ender's Game",4,6.8,"tt2312718"
2014-02-02,"The Wolf of Wall Street",5,7,"tt1731141"
2014-02-02,"Escape Plan",6,6.9,"tt1211956"
2014-02-02,"Frozen",7,8.1,"tt2294629"
2014-02-02,"The Secret Life of Walter Mitty",8,7.7,"tt0359950"
2014-02-02,"Ride Along",9,6.5,"tt1408253"
2014-02-02,"Lone Survivor",10,7.6,"tt1091191"
2014-02-09,"Thor the Dark World",1,7.6,"tt1981115"
2014-02-09,"Homefront",2,6.8,"tt2312718"
2014-02-09,"Ride Along",3,6.5,"tt1408253"
2014-02-09,"Gravity",4,8.2,"tt1454468"
2014-02-09,"The Wolf of Wall Street",5,7,"tt1731141"
2014-02-09,"The Art of the Steal",6,6.7,"tt2172985"
2014-02-09,"Frozen",7,8.1,"tt2294629"
2014-02-09,"Ender's Game",8,6.8,"tt2312718"
2014-02-09,"The Secret Life of Walter Mitty",9,7.7,"tt0359950"
2014-02-09,"The Hunger Games Catching Fire",10,8.2,"tt1951264"
2014-02-16,"Thor the Dark World",1,7.6,"tt1981115"
2014-02-16,"Gravity",2,8.2,"tt1454468"
2014-02-16,"Homefront",3,6.8,"tt2312718"
2014-02-16,"Frozen",4,8.1,"tt2294629"
2014-02-16,"Ride Along",5,6.5,"tt1408253"
2014-02-16,"Oldboy",6,5.2,"tt1321511"
2014-02-16,"The Wolf of Wall Street",7,8.5,"tt1731141"
2014-02-16,"Ender's Game",8,6.8,"tt2312718"
2014-02-16,"Knights of Badassdom",9,6.6,"tt1545660"
2014-02-16,"The Secret Life of Walter Mitty",10,7.7,"tt0359950"
2014-02-23,"12 Years a Slave",1,8.4,"tt2024544"
2014-02-23,"Thor the Dark World",2,7.6,"tt1981115"
2014-02-23,"Frozen",3,8.1,"tt2294629"
2014-02-23,"Gravity",4,8.2,"tt1454468"
2014-02-23,"After the Dark",5,5.7,"tt1928340"
2014-02-23,"RoboCop",6,6.7,"tt1234721"
2014-02-23,"Ride Along",7,6.5,"tt1408253"
2014-02-23,"Homefront",8,6.8,"tt2312718"
2014-02-23,"The Wolf of Wall Street",9,8.5,"tt1731141"
2014-02-23,"The Secret Life of Walter Mitty",10,7.7,"tt0359950"
2014-03-02,"Frozen",1,8.1,"tt2294629"
2014-03-02,"American Hustle",2,7.6,"tt1800241"
2014-03-02,"12 Years a Slave",3,8.4,"tt2024544"
2014-03-02,"I Frankenstein",4,5.5,"tt1418377"
2014-03-02,"Thor the Dark World",5,7.6,"tt1981115"
2014-03-02,"Gravity",6,8.2,"tt1454468"
2014-03-02,"Saving Mr. Banks",7,7.7,"tt2140373"
2014-03-02,"The Book Thief",8,7.7,"tt0816442"
2014-03-02,"Ride Along",9,6.5,"tt1408253"
2014-03-02,"The Wolf of Wall Street",10,8.5,"tt1731141"
2014-03-09,"12 Years a Slave",1,8.4,"tt2024544"
2014-03-09,"Frozen",2,8.1,"tt2294629"
2014-03-09,"Delivery Man",3,6.4,"tt2387559"
2014-03-09,"Gravity",4,8.2,"tt1454468"
2014-03-09,"I Frankenstein",5,5.5,"tt1418377"
2014-03-09,"American Hustle",6,7.6,"tt1800241"
2014-03-09,"Thor the Dark World",7,7.6,"tt1981115"
2014-03-09,"Bad Country",8,NA,"tt2350892"
2014-03-09,"Dallas Buyer's Club",9,8,"tt0790636"
2014-03-09,"The Bag Man",10,5.5,"tt2212008"
2014-03-16,"The Wolf of Wall Street",1,8.5,"tt0993846"
2014-03-16,"Anchorman 2",2,6.9,"tt1229340"
2014-03-16,"12 Years a Slave",3,8.4,"tt2024544"
2014-03-16,"Bad Country",4,NA,"tt2350892"
2014-03-16,"Frozen",5,8.1,"tt2294629"
2014-03-16,"Avengers Confidential Black Widow and Punisher",6,5.6,"tt3482378"
2014-03-16,"Delivery Man",7,6.4,"tt2387559"
2014-03-16,"47 Ronin",8,6.5,"tt1335975"
2014-03-16,"Gravity",9,8.2,"tt1454468"
2014-03-16,"American Hustle",10,7.6,"tt1800241"
2014-03-23,"47 Ronin",1,6.5,"tt1335975"
2014-03-23,"The Hobbit the Desolation of Smaug",2,8.2,"tt1170358"
2014-03-23,"The Pirate Fairy",3,6.9,"tt2483260"
2014-03-23,"Anchorman 2",4,6.9,"tt1229340"
2014-03-23,"The Wolf of Wall Street",5,8.5,"tt0993846"
2014-03-23,"Frozen",6,8.1,"tt2294629"
2014-03-23,"12 Years a Slave",7,8.4,"tt2024544"
2014-03-23,"300 Rise of an Empire",8,7,"tt1253863"
2014-03-23,"Bad Country",9,NA,"tt2350892"
2014-03-23,"Gravity",10,8.2,"tt1454468"
2014-03-30,"The Secret Life of Walter Mitty",1,7.5,"tt0359950"
2014-03-30,"The Hobbit the Desolation of Smaug",2,8.2,"tt1170358"
2014-03-30,"47 Ronin",3,6.5,"tt1335975"
2014-03-30,"300 Rise of an Empire",4,6.9,"tt1253863"
2014-03-30,"The Wolf of Wall Street",5,8.5,"tt0993846"
2014-03-30,"Anchorman 2",6,6.9,"tt1229340"
2014-03-30,"The Pirate Fairy",7,6.9,"tt2483260"
2014-03-30,"Frozen",8,8.1,"tt2294629"
2014-03-30,"Lone Survivor",9,7.8,"tt1091191"
2014-03-30,"Grudge Match",10,6.6,"tt1661382"
2014-04-06,"Ride Along",1,6.4,"tt1408253"
2014-04-06,"The Nut Job",2,5.7,"tt1821658"
2014-04-06,"The Secret Life of Walter Mitty",3,7.5,"tt0359950"
2014-04-06,"47 Ronin",4,6.5,"tt1335975"
2014-04-06,"The Hobbit the Desolation of Smaug",5,8.2,"tt1170358"
2014-04-06,"The Wolf of Wall Street",6,8.5,"tt0993846"
2014-04-06,"The Legend of Hercules",7,4.2,"tt1043726"
2014-04-06,"Frozen",8,8.1,"tt2294629"
2014-04-06,"The Pirate Fairy",9,6.9,"tt2483260"
2014-04-06,"300 Rise of an Empire",10,6.9,"tt1253863"
2014-04-13,"The Machine",1,6.3,"tt2317225"
2014-04-13,"Ride Along",2,6.4,"tt1408253"
2014-04-13,"The Nut Job",3,5.7,"tt1821658"
2014-04-13,"47 Ronin",4,6.5,"tt1335975"
2014-04-13,"Joe",5,7.6,"tt2382396"
2014-04-13,"The Secret Life of Walter Mitty",6,7.5,"tt0359950"
2014-04-13,"The Hobbit the Desolation of Smaug",7,8.2,"tt1170358"
2014-04-13,"Sparks",8,6.3,"tt2234429"
2014-04-13,"Captain America the Winter Soldier",9,8.3,"tt1843866"
2014-04-13,"Frozen",10,8.1,"tt2294629"
2014-04-20,"Son of Batman",1,6.3,"tt3139072"
2014-04-20,"The Machine",2,6.3,"tt2317225"
2014-04-20,"The Physician",3,7.3,"tt2101473"
2014-04-20,"Ride Along",4,6.4,"tt1408253"
2014-04-20,"Captain America the Winter Soldier",5,8.3,"tt1843866"
2014-04-20,"47 Ronin",6,6.5,"tt1335975"
2014-04-20,"Need For Speed",7,7.3,"tt2369135"
2014-04-20,"The Nut Job",8,5.7,"tt1821658"
2014-04-20,"Frozen",9,8.1,"tt2294629"
2014-04-20,"300 Rise of an Empire",10,6.9,"tt1253863"
2014-04-27,"Captain America the Winter Soldier",1,8.3,"tt1843866"
2014-04-27,"That Awkward Moment",2,6.2,"tt1800246"
2014-04-27,"Vampire Academy",3,6.3,"tt1686821"
2014-04-27,"Son of Batman",4,6.3,"tt3139072"
2014-04-27,"The Machine",5,6.3,"tt2317225"
2014-04-27,"Her",6,8.2,"tt1798709"
2014-04-27,"Rio 2",7,6.8,"tt2357291"
2014-04-27,"The Physician",8,7.3,"tt2101473"
2014-04-27,"Ride Along",9,6.4,"tt1408253"
2014-04-27,"Frozen",10,8.1,"tt2294629"
2014-05-04,"RoboCop",1,6.5,"tt1234721"
2014-05-04,"Captain America the Winter Soldier",2,8.3,"tt1843866"
2014-05-04,"Pompeii",3,6,"tt1921064"
2014-05-04,"The Monuments Men",4,6.2,"tt2177771"
2014-05-04,"Vampire Academy",5,6.3,"tt1686821"
2014-05-04,"That Awkward Moment",6,6.2,"tt1800246"
2014-05-04,"I Frankenstein",7,5.2,"tt1418377"
2014-05-04,"Rio 2",8,6.8,"tt2357291"
2014-05-04,"About Last Night",9,6.2,"tt1826590"
2014-05-04,"Her",10,8.2,"tt1798709"
2014-05-11,"RoboCop",1,6.5,"tt1234721"
2014-05-11,"The Monuments Men",2,6.2,"tt2177771"
2014-05-11,"Jack Ryan Shadow Recruit",3,6.3,"tt1205537"
2014-05-11,"Captain America the Winter Soldier",4,8.3,"tt1843866"
2014-05-11,"3 Days To kill",5,6.2,"tt2172934"
2014-05-11,"Pompeii",6,6,"tt1921064"
2014-05-11,"The Lego Movie",7,8.2,"tt1490017"
2014-05-11,"That Awkward Moment",8,6.2,"tt1800246"
2014-05-11,"Rio 2",9,6.8,"tt2357291"
2014-05-11,"Vampire Academy",10,6.3,"tt1686821"
2014-05-18,"RoboCop",1,6.5,"tt1234721"
2014-05-18,"Jack Ryan Shadow Recruit",2,6.3,"tt1205537"
2014-05-18,"3 Days To kill",3,6.2,"tt2172934"
2014-05-18,"Tarzan",4,4.6,"tt1705952"
2014-05-18,"Captain America the Winter Soldier",5,8.3,"tt1843866"
2014-05-18,"The Monuments Men",6,6.2,"tt2177771"
2014-05-18,"That Awkward Moment",7,6.2,"tt1800246"
2014-05-18,"The Lego Movie",8,8.2,"tt1490017"
2014-05-18,"Winter's Tale",9,6.2,"tt1837709"
2014-05-18,"Rio 2",10,6.8,"tt2357291"
2014-05-25,"3 Days To kill",1,6.2,"tt2172934"
2014-05-25,"Godzilla",2,7.3,"tt0831387"
2014-05-25,"RoboCop",3,6.5,"tt1234721"
2014-05-25,"Jack Ryan Shadow Recruit",4,6.3,"tt1205537"
2014-05-25,"Non-Stop",5,7.2,"tt2024469"
2014-05-25,"The Lego Movie",6,8.2,"tt1490017"
2014-05-25,"Captain America the Winter Soldier",7,8.3,"tt1843866"
2014-05-25,"Oculus",8,6.9,"tt2388715"
2014-05-25,"The Monuments Men",9,6.2,"tt2177771"
2014-05-25,"Tarzan",10,4.6,"tt1705952"
2014-06-01,"Non-Stop",1,7.2,"tt2024469"
2014-06-01,"The Lego Movie",2,8.2,"tt1490017"
2014-06-01,"Oculus",3,6.9,"tt2388715"
2014-06-01,"X-Men Days of Future Past",4,8.5,"tt1877832"
2014-06-01,"3 Days To kill",5,6.2,"tt2172934"
2014-06-01,"Godzilla",6,7.3,"tt0831387"
2014-06-01,"RoboCop",7,6.5,"tt1234721"
2014-06-01,"Captain America the Winter Soldier",8,8.3,"tt1843866"
2014-06-01,"Drive Hard",9,4.3,"tt2968804"
2014-06-01,"13 Sins",10,6.2,"tt2059171"
2014-06-08,"300 Rise of an Empire",1,6.6,"tt1253863"
2014-06-08,"Street Fighter Assassin's Fist",2,8.5,"tt3069212"
2014-06-08,"X-Men Days of Future Past",3,8.5,"tt1877832"
2014-06-08,"The Grand Budapest Hotel",4,8.3,"tt2278388"
2014-06-08,"Non-Stop",5,7.2,"tt2024469"
2014-06-08,"The Lego Movie",6,8.2,"tt1490017"
2014-06-08,"Oculus",7,6.9,"tt2388715"
2014-06-08,"Rob the Mob",8,6.5,"tt2481480"
2014-06-08,"3 Days To kill",9,6.2,"tt2172934"
2014-06-08,"Rio 2",10,6.7,"tt2357291"
2014-06-15,"300 Rise of an Empire",1,6.6,"tt1253863"
2014-06-15,"X-Men Days of Future Past",2,8.5,"tt1877832"
2014-06-15,"The Grand Budapest Hotel",3,8.3,"tt2278388"
2014-06-15,"Street Fighter Assassin's Fist",4,8.5,"tt3069212"
2014-06-15,"Edge of Tomorrow",5,8.2,"tt1631867"
2014-06-15,"Rio 2",6,6.7,"tt2357291"
2014-06-15,"A Million Ways to Die in the West",7,6.4,"tt2557490"
2014-06-15,"The Lego Movie",8,8.2,"tt1490017"
2014-06-15,"Non-Stop",9,7.2,"tt2024469"
2014-06-15,"Sleeping Beauty",10,3.1,"tt3343136"
2014-06-22,"A Million Ways to Die in the West",1,6.4,"tt2557490"
2014-06-22,"300 Rise of an Empire",2,6.6,"tt1253863"
2014-06-22,"X-Men Days of Future Past",3,8.5,"tt1877832"
2014-06-22,"Godzilla",4,7.2,"tt0831387"
2014-06-22,"The Grand Budapest Hotel",5,8.3,"tt2278388"
2014-06-22,"Maleficent",6,7.4,"tt1587310"
2014-06-22,"Rio 2",7,6.7,"tt2357291"
2014-06-22,"The Lego Movie",8,8.2,"tt1490017"
2014-06-22,"Edge of Tomorrow",9,8.2,"tt1631867"
2014-06-22,"Street Fighter Assassin's Fist",10,8.5,"tt3069212"
2014-06-29,"Rio 2",1,6.7,"tt2357291"
2014-06-29,"A Million Ways to Die in the West",2,6.4,"tt2557490"
2014-06-29,"X-Men Days of Future Past",3,8.5,"tt1877832"
2014-06-29,"Captain America the Winter Soldier",4,8.2,"tt1843866"
2014-06-29,"300 Rise of an Empire",5,6.6,"tt1253863"
2014-06-29,"Neighbors",6,7,"tt2004420"
2014-06-29,"Godzilla",7,7.2,"tt0831387"
2014-06-29,"Maleficent",8,7.4,"tt1587310"
2014-06-29,"The Grand Budapest Hotel",9,8.3,"tt2278388"
2014-06-29,"Bad Words",10,6.8,"tt2170299"
2014-07-06,"Noah",1,6.3,"tt1959490"
2014-07-06,"Transcendence",2,6.4,"tt2209764"
2014-07-06,"Rio 2",3,6.7,"tt2357291"
2014-07-06,"A Million Ways to Die in the West",4,6.4,"tt2557490"
2014-07-06,"The Other Woman",5,6.5,"tt2203939"
2014-07-06,"X-Men Days of Future Past",6,8.5,"tt1877832"
2014-07-06,"Captain America the Winter Soldier",7,8.2,"tt1843866"
2014-07-06,"Heaven is For Real",8,5.5,"tt1929263"
2014-07-06,"300 Rise of an Empire",9,6.6,"tt1253863"
2014-07-06,"The Grand Budapest Hotel",10,8.3,"tt2278388"
2014-07-13,"Transcendence",1,6.4,"tt2209764"
2014-07-13,"Noah",2,6.3,"tt1959490"
2014-07-13,"Need For Speed",3,7.1,"tt2369135"
2014-07-13,"Sabotage",4,6,"tt1742334"
2014-07-13,"The Other Woman",5,6.5,"tt2203939"
2014-07-13,"Muppets Most Wanted",6,6.8,"tt2281587"
2014-07-13,"Rio 2",7,6.7,"tt2357291"
2014-07-13,"A Million Ways to Die in the West",8,6.4,"tt2557490"
2014-07-13,"Captain America the Winter Soldier",9,8.2,"tt1843866"
2014-07-13,"X-Men Days of Future Past",10,8.5,"tt1877832"
2014-07-20,"Need For Speed",1,7.1,"tt2369135"
2014-07-20,"The Other Woman",2,6.5,"tt2203939"
2014-07-20,"Transcendence",3,6.4,"tt2209764"
2014-07-20,"Noah",4,6.3,"tt1959490"
2014-07-20,"Transformers Age of Extinction",5,6.3,"tt2109248"
2014-07-20,"Brick Mansions",6,5.9,"tt1430612"
2014-07-20,"Sabotage",7,6,"tt1742334"
2014-07-20,"The Amazing Spider-Man 2",8,7.4,"tt1872181"
2014-07-20,"Rio 2",9,6.7,"tt2357291"
2014-07-20,"X-Men Days of Future Past",10,8.5,"tt1877832"
2014-07-27,"The Expendables 3",1,NA,"tt2333784"
2014-07-27,"Divergent",2,7.2,"tt1840309"
2014-07-27,"The Other Woman",3,6.5,"tt2203939"
2014-07-27,"Need For Speed",4,7.1,"tt2369135"
2014-07-27,"The Amazing Spider-Man 2",5,7.4,"tt1872181"
2014-07-27,"Transformers Age of Extinction",6,6.3,"tt2109248"
2014-07-27,"Noah",7,6.3,"tt1959490"
2014-07-27,"Dawn of the Planet of the Apes",8,8.3,"tt2103281"
2014-07-27,"Transcendence",9,6.4,"tt2209764"
2014-07-27,"Hercules Reborn",10,3.4,"tt3499424"
2014-08-03,"Divergent",1,7.2,"tt1840309"
2014-08-03,"Captain America the Winter Soldier",2,8.1,"tt1843866"
2014-08-03,"The Expendables 3",3,NA,"tt2333784"
2014-08-03,"Dawn of the Planet of the Apes",4,8.3,"tt2103281"
2014-08-03,"The Amazing Spider-Man 2",5,7.4,"tt1872181"
2014-08-03,"The Other Woman",6,6.5,"tt2203939"
2014-08-03,"22 Jump Street",7,7.8,"tt2294449"
2014-08-03,"Need For Speed",8,7.1,"tt2369135"
2014-08-03,"Batman Assault on Arkham",9,7.4,"tt3139086"
2014-08-03,"Noah",10,6.3,"tt1959490"
2014-08-10,"Captain America the Winter Soldier",1,8.1,"tt1843866"
2014-08-10,"Divergent",2,7.2,"tt1840309"
2014-08-10,"The Amazing Spider-Man 2",3,7.4,"tt1872181"
2014-08-10,"22 Jump Street",4,7.8,"tt2294449"
2014-08-10,"Dawn of the Planet of the Apes",5,8.3,"tt2103281"
2014-08-10,"The Expendables 3",6,NA,"tt2333784"
2014-08-10,"Hercules",7,6.5,"tt1267297"
2014-08-10,"Guardians of the Galaxy",8,8.8,"tt2015381"
2014-08-10,"The Other Woman",9,6.5,"tt2203939"
2014-08-10,"Need For Speed",10,7.1,"tt2369135"
