"date","movie","rank","rating","imdb.id"
2013-05-12,"Dark Skies",5,6.1,"tt2387433"
2013-05-12,"The Place Beyond the Pines",6,7.8,"tt1817273"
2013-05-12,"I Give it a Year",7,6.1,"tt2244901"
2013-05-12,"Jack Reacher",8,7,"tt0790724"
2013-05-12,"Escape From Planet Earth",9,5.3,"tt0765446"
2013-05-12,"21 and Over",10,5.7,"tt1711425"
2013-05-19,"Iron Man 3",1,8,"tt1300854"
2013-05-19,"A Good Day to Die Hard",2,5.5,"tt1300854"
2013-05-19,"Warm Bodies",3,7.2,"tt1588173"
2013-05-19,"Fast and Furious 6",4,7.7,"tt1905041"
2013-05-19,"Parker",5,6.2,"tt1904996"
2013-05-19,"Hansel & Gretel Witch Hunters",6,6.3,"tt1428538"
2013-05-19,"Dark Circles",7,6.6,"tt1863201"
2013-05-19,"Assault on Wall Street",8,6,"tt2368553"
2013-05-19,"Jack Reacher",9,7,"tt0790724"
2013-05-19,"Star Trek Into Darkness",10,8.4,"tt1408101"
2013-05-26,"Iron Man 3",1,8,"tt1300854"
2013-05-26,"Fast and Furious 6",2,7.7,"tt1905041"
2013-05-26,"Snitch",3,6.7,"tt0882977"
2013-05-26,"A Good Day to Die Hard",4,5.5,"tt1300854"
2013-05-26,"Bullet To the Head",5,6.1,"tt1308729"
2013-05-26,"Warm Bodies",6,7.2,"tt1588173"
2013-05-26,"Oz the Great and Powerful",7,6.7,"tt1623205"
2013-05-26,"Star Trek Into Darkness",8,8.4,"tt1408101"
2013-05-26,"Parker",9,6.2,"tt1904996"
2013-05-26,"Hansel & Gretel Witch Hunters",10,6.3,"tt1428538"
2013-06-02,"Jack the Giant Slayer",1,6.6,"tt1351685"
2013-06-02,"Iron Man 3",2,8,"tt1300854"
2013-06-02,"Hammer of the Gods",3,5.9,"tt2193418"
2013-06-02,"Fast and Furious 6",4,7.7,"tt1905041"
2013-06-02,"Snitch",5,6.7,"tt0882977"
2013-06-02,"The Hangover Part 3",6,6.3,"tt1951261"
2013-06-02,"Epic",7,6.8,"tt0848537"
2013-06-02,"A Good Day to Die Hard",8,5.5,"tt1300854"
2013-06-02,"Oz the Great and Powerful",9,6.7,"tt1623205"
2013-06-02,"Bullet To the Head",10,6.1,"tt1308729"
2013-06-09,"The Hangover Part 3",1,6.3,"tt1951261"
2013-06-09,"Dead Man Down",2,6.6,"tt2101341"
2013-06-09,"Jack the Giant Slayer",3,6.6,"tt1351685"
2013-06-09,"Iron Man 3",4,8,"tt1300854"
2013-06-09,"21 and Over",5,5.7,"tt1711425"
2013-06-09,"The Incredible Burt Wonderstone",6,5.9,"tt0790628"
2013-06-09,"Fast and Furious 6",7,7.7,"tt1905041"
2013-06-09,"Hammer of the Gods",8,5.9,"tt2193418"
2013-06-09,"Epic",9,6.8,"tt0848537"
2013-06-09,"Stoker",10,7.3,"tt1682180"
2013-06-16,"The Hangover Part 3",1,6.3,"tt1951261"
2013-06-16,"Dead Man Down",2,6.6,"tt2101341"
2013-06-16,"Iron Man 3",3,8,"tt1300854"
2013-06-16,"We Steal Secrets the Story of WikiLeaks",4,5.4,"tt1824254"
2013-06-16,"Jack the Giant Slayer",5,6.6,"tt1351685"
2013-06-16,"Phantom",6,5.8,"tt1922685"
2013-06-16,"Admission",7,5.3,"tt1814621"
2013-06-16,"Fast and Furious 6",8,7.7,"tt1905041"
2013-06-16,"The Call",9,6.5,"tt1911644"
2013-06-16,"Epic",10,6.8,"tt0848537"
2013-06-23,"The Hangover Part 3",1,6.3,"tt1951261"
2013-06-23,"Fast and Furious 6",2,7.7,"tt1905041"
2013-06-23,"Admission",3,5.3,"tt1814621"
2013-06-23,"Man of Steel",4,8,"tt0770828"
2013-06-23,"Dead Man Down",5,6.6,"tt2101341"
2013-06-23,"Iron Man 3",6,8,"tt1300854"
2013-06-23,"The Purge",7,5.6,"tt2184339"
2013-06-23,"Jack the Giant Slayer",8,6.6,"tt1351685"
2013-06-23,"Springbreakers",9,6.3,"tt2101441"
2013-06-23,"Epic",10,6.8,"tt0848537"
2013-06-30,"Olympus Has Fallen",1,6.7,"tt2302755"
2013-06-30,"The Hangover Part 3",2,6.3,"tt1951261"
2013-06-30,"Man of Steel",3,8,"tt0770828"
2013-06-30,"Redemption",4,6.3,"tt1893256"
2013-06-30,"Fast and Furious 6",5,7.7,"tt1905041"
2013-06-30,"Iron Man 3",6,8,"tt1300854"
2013-06-30,"Dead Man Down",7,6.6,"tt2101341"
2013-06-30,"Admission",8,5.3,"tt1814621"
2013-06-30,"Springbreakers",9,6.3,"tt2101441"
2013-06-30,"World War Z",10,7.4,"tt0816711"
2013-07-07,"Fast and Furious 6",1,7.7,"tt1905041"
2013-07-07,"G.I. Joe Retaliation",2,6.1,"tt1583421"
2013-07-07,"World War Z",3,7.4,"tt0816711"
2013-07-07,"Olympus Has Fallen",4,6.1,"tt1583421"
2013-07-07,"Man of Steel",5,8,"tt0770828"
2013-07-07,"The Hangover Part 3",6,6.3,"tt1951261"
2013-07-07,"Redemption",7,6.3,"tt1893256"
2013-07-07,"Iron Man 3",8,8,"tt1300854"
2013-07-07,"The Croods",9,7.4,"tt0481499"
2013-07-07,"Despicable Me 2",10,7.9,"tt1690953"
2013-07-14,"G.I. Joe Retaliation",1,6.1,"tt1583421"
2013-07-14,"The Lone Ranger",2,6.7,"tt1210819"
2013-07-14,"Fast and Furious 6",3,7.7,"tt1905041"
2013-07-14,"Despicable Me 2",4,7.9,"tt1690953"
2013-07-14,"World War Z",5,7.4,"tt0816711"
2013-07-14,"Olympus Has Fallen",6,6.1,"tt1583421"
2013-07-14,"Killing Season",7,5.4,"tt1480295"
2013-07-14,"Man of Steel",8,8,"tt0770828"
2013-07-14,"White House Down",9,6.3,"tt2334879"
2013-07-14,"Redemption",10,6.3,"tt1893256"
2013-07-21,"G.I. Joe Retaliation",1,6.1,"tt1583421"
2013-07-21,"Oblivion",2,7.1,"tt1483013"
2013-07-21,"Fast and Furious 6",3,7.7,"tt1905041"
2013-07-21,"Despicable Me 2",4,7.9,"tt1690953"
2013-07-21,"Man of Steel",5,8,"tt0770828"
2013-07-21,"Only God Forgives",6,6.3,"tt1602613"
2013-07-21,"The Lone Ranger",7,6.7,"tt1210819"
2013-07-21,"World War Z",8,7.4,"tt0816711"
2013-07-21,"White House Down",9,6.3,"tt2334879"
2013-07-21,"Scary Movie 5",10,3.6,"tt0795461"
2013-07-28,"Oblivion",1,7.1,"tt1483013"
2013-07-28,"Grown Ups 2",2,4.9,"tt2191701"
2013-07-28,"The Colony",3,5.2,"tt1160996"
2013-07-28,"Despicable Me 2",4,7.9,"tt1690953"
2013-07-28,"G.I. Joe Retaliation",5,6.1,"tt1583421"
2013-07-28,"After Earth",6,4.9,"tt1815862"
2013-07-28,"Man of Steel",7,8,"tt0770828"
2013-07-28,"Fast and Furious 6",8,7.7,"tt1905041"
2013-07-28,"Drinking Buddies",9,6.3,"tt2265398"
2013-07-28,"Hell Baby",10,5.1,"tt2318527"
2013-08-04,"Oblivion",1,7.1,"tt1483013"
2013-08-04,"The Big Wedding",2,5.2,"tt1931435"
2013-08-04,"The Conjuring",3,7.9,"tt1457767"
2013-08-04,"Grown Ups 2",4,4.9,"tt2191701"
2013-08-04,"Despicable Me 2",5,7.9,"tt1690953"
2013-08-04,"Byzantium",6,6.8,"tt1531901"
2013-08-04,"The Colony",7,5.2,"tt1160996"
2013-08-04,"G.I. Joe Retaliation",8,6.1,"tt1583421"
2013-08-04,"Fast and Furious 6",9,7.7,"tt1905041"
2013-08-04,"The Wolverine",10,7.2,"tt1430132"
2013-08-11,"The Conjuring",1,7.9,"tt1457767"
2013-08-11,"Oblivion",2,7.1,"tt1483013"
2013-08-11,"The Iceman",3,7,"tt1491044"
2013-08-11,"Epic",4,6.6,"tt0848537"
2013-08-11,"The Great Gatsby",5,7.4,"tt1343092"
2013-08-11,"The Wolverine",6,7.2,"tt1430132"
2013-08-11,"The Big Wedding",7,5.2,"tt1931435"
2013-08-11,"Despicable Me 2",8,7.9,"tt1690953"
2013-08-11,"R.I.P.D",9,5.5,"tt0790736"
2013-08-11,"Grown Ups 2",10,4.9,"tt2191701"
2013-08-18,"Iron Man 3",1,7.5,"tt1300854"
2013-08-18,"The Conjuring",2,7.9,"tt1457767"
2013-08-18,"The Great Gatsby",3,7.4,"tt1343092"
2013-08-18,"Pain and Gain",4,6.7,"tt1980209"
2013-08-18,"Oblivion",5,7.1,"tt1483013"
2013-08-18,"Epic",6,6.6,"tt0848537"
2013-08-18,"The Iceman",7,7,"tt1491044"
2013-08-18,"The Wolverine",8,7.2,"tt1430132"
2013-08-18,"R.I.P.D",9,5.5,"tt0790736"
2013-08-18,"Once Upon Ay Time in Mumbai Dobaara!",10,6.3,"tt1891884"
2013-08-25,"Now You See Me",1,7.4,"tt1670345"
2013-08-25,"Star Trek Into Darkness",2,8.1,"tt1408101"
2013-08-25,"We're the Millers",3,7.2,"tt1723121"
2013-08-25,"Iron Man 3",4,7.5,"tt1300854"
2013-08-25,"The Conjuring",5,7.9,"tt1457767"
2013-08-25,"R.I.P.D",6,5.5,"tt0790736"
2013-08-25,"Pain and Gain",7,6.7,"tt1980209"
2013-08-25,"The Great Gatsby",8,7.4,"tt1343092"
2013-08-25,"The Frozen Ground",9,6.4,"tt2005374"
2013-08-25,"Oblivion",10,7.1,"tt1483013"
2013-09-01,"Now You See Me",1,7.4,"tt1670345"
2013-09-01,"We're the Millers",2,7.2,"tt1723121"
2013-09-01,"Star Trek Into Darkness",3,8.1,"tt1408101"
2013-09-01,"Kick-Ass 2",4,7.2,"tt1650554"
2013-09-01,"The Frozen Ground",5,6.4,"tt2005374"
